wavelength_nm,primary_R,primary_G,primary_B,display_white,illuminant_E,illuminant_A,D65
673,0.000289349,7.94134e-21,1.35083e-113,6.21517e-06,1,180.783,81.0797
674,0.000205327,4.14754e-21,1.17032e-114,4.41038e-06,1,181.451,80.6804
675,0.000144676,2.15636e-21,1.00239e-115,3.10762e-06,1,182.118,80.281
676,0.000101223,1.11606e-21,8.48771e-117,2.17424e-06,1,182.783,79.8816
677,7.03211e-05,5.75023e-22,7.10508e-118,1.51048e-06,1,183.447,79.4823
678,4.8509e-05,2.9493e-22,5.87993e-119,1.04196e-06,1,184.109,79.0829
679,3.32267e-05,1.50586e-22,4.81061e-120,7.13704e-07,1,184.77,78.6836
680,2.25985e-05,7.65398e-23,3.89091e-121,4.85413e-07,1,185.429,78.2842
681,1.52617e-05,3.87278e-23,3.1112e-122,3.27818e-07,1,186.087,77.4279
682,1.02342e-05,1.95071e-23,2.4594e-123,2.19828e-07,1,186.743,76.5716
683,6.81444e-06,9.78129e-24,1.922e-124,1.46373e-07,1,187.397,75.7153
684,4.50544e-06,4.88241e-24,1.48492e-125,9.6776e-08,1,188.05,74.859
685,2.95782e-06,2.42609e-24,1.13417e-126,6.35335e-08,1,188.701,74.0027
686,1.92812e-06,1.20009e-24,8.56397e-128,4.14158e-08,1,189.35,73.1464
687,1.24803e-06,5.90952e-25,6.3929e-129,2.68076e-08,1,189.998,72.2901
688,8.02133e-07,2.89686e-25,4.71786e-130,1.72297e-08,1,190.644,71.4339
689,5.11911e-07,1.41363e-25,3.44204e-131,1.09958e-08,1,191.288,70.5776
690,3.24393e-07,6.86718e-26,2.48263e-132,6.9679e-09,1,191.931,69.7213
691,2.04115e-07,3.32089e-26,1.77024e-133,4.38436e-09,1,192.572,69.9101
692,1.27529e-07,1.5987e-26,1.24789e-134,2.7393e-09,1,193.211,70.0989
693,7.91171e-08,7.66145e-27,8.69652e-136,1.69942e-09,1,193.849,70.2876
694,4.87372e-08,3.65502e-27,5.99154e-137,1.04687e-09,1,194.484,70.4764
695,2.98111e-08,1.73581e-27,4.0809e-138,6.40338e-10,1,195.118,70.6652
696,1.81061e-08,8.20636e-28,2.74788e-139,3.88916e-10,1,195.75,70.854
697,1.09194e-08,3.86218e-28,1.82921e-140,2.34547e-10,1,196.381,71.0428
698,6.53886e-09,1.80946e-28,1.2038e-141,1.40454e-10,1,197.009,71.2315
699,3.88807e-09,8.43913e-29,7.83196e-143,8.3515e-11,1,197.636,71.4203
700,2.29558e-09,3.91815e-29,5.03744e-144,4.93088e-11,1,198.261,71.6091
701,1.3458e-09,1.81092e-29,3.20313e-145,2.89076e-11,1,198.884,71.8831
702,7.83425e-10,8.33205e-30,2.01355e-146,1.68278e-11,1,199.506,72.1571
703,4.52837e-10,3.81626e-30,1.25134e-147,9.72687e-12,1,200.125,72.431
704,2.59905e-10,1.74004e-30,7.68798e-149,5.58272e-12,1,200.743,72.705
705,1.48121e-10,7.89792e-31,4.66954e-150,3.18161e-12,1,201.359,72.979
706,8.38197e-11,3.56863e-31,2.80388e-151,1.80043e-12,1,201.972,73.253
707,4.70982e-11,1.60518e-31,1.66445e-152,1.01166e-12,1,202.584,73.527
708,2.62779e-11,7.18756e-32,9.76798e-154,5.64444e-13,1,203.195,73.801
709,1.45581e-11,3.20385e-32,5.66713e-155,3.12705e-13,1,203.803,74.075
710,8.00843e-12,1.42167e-32,3.25048e-156,1.7202e-13,1,204.409,74.349
711,4.3744e-12,6.27996e-33,1.84312e-157,9.39614e-14,1,205.013,73.0745
712,2.37257e-12,2.76153e-33,1.03321e-158,5.09623e-14,1,205.616,71.8
713,1.27775e-12,1.20886e-33,5.72589e-160,2.74459e-14,1,206.216,70.5255
714,6.83285e-13,5.26792e-34,3.13707e-161,1.46768e-14,1,206.815,69.251
715,3.62816e-13,2.28526e-34,1.69914e-162,7.79323e-15,1,207.411,67.9765
716,1.91293e-13,9.86881e-35,9.09828e-164,4.10894e-15,1,208.006,66.702
717,1.00148e-13,4.24257e-35,4.8163e-165,2.15115e-15,1,208.599,65.4275
718,5.20607e-14,1.81563e-35,2.52053e-166,1.11825e-15,1,209.189,64.153
719,2.68725e-14,7.73498e-36,1.30405e-167,5.77216e-16,1,209.778,62.8785
720,1.37732e-14,3.28039e-36,6.66994e-169,2.95845e-16,1,210.365,61.604
721,7.00951e-15,1.38492e-36,3.37267e-170,1.50563e-16,1,210.949,62.4322
722,3.54218e-15,5.8205e-37,1.68597e-171,7.60854e-17,1,211.532,63.2603
723,1.77738e-15,2.43517e-37,8.33201e-173,3.81779e-17,1,212.112,64.0885
724,8.85565e-16,1.01422e-37,4.07075e-174,1.90218e-17,1,212.691,64.9166
725,4.38115e-16,4.20503e-38,1.96618e-175,9.41064e-18,1,213.268,65.7448
726,2.15221e-16,1.73556e-38,9.38852e-177,4.6229e-18,1,213.842,66.573
727,1.0498e-16,7.13092e-39,4.43195e-178,2.25496e-18,1,214.415,67.4011
728,5.08465e-17,2.91665e-39,2.06832e-179,1.09217e-18,1,214.985,68.2293
729,2.44535e-17,1.18757e-39,9.54254e-181,5.25258e-19,1,215.553,69.0574
730,1.16775e-17,4.81355e-40,4.35246e-182,2.50831e-19,1,216.12,69.8856
